date,bank_usdt,delta_pct,note
2026-08-06,30.00,0.0,старт проекта
2026-08-07,29.71,-1.0,день 1: 1/3
2026-08-08,30.65,+3.2,день 2: 8/12
2026-08-09,29.90,-1.6,день 3: 0/3
2026-08-10,30.10,+0.7,день 4: 1/1
2026-08-11,29.56,-1.8,день 5: 2/6 (пилот пропов 2/4)
2026-08-12,29.98,-1.4,день 6: 6W/5L (пропы 4/7; командные 2/4)
2026-08-13,29.82,-0.5,день 7: 2W/4L/1VOID
2026-08-14,30.65,+2.8,день 8: 7/7
2026-08-15,30.76,+0.8,день 9: 5W/3L
2026-08-16,30.46,-1.9,день 10: 1W/5L
2026-08-17,30.52,+0.36,день 11: 4W/1L
2026-08-18,30.73,+0.22,день 12: 2W/0L
2026-08-19,30.98,+0.24,день 13: 6W/2L
2026-08-20,30.41,-0.57,день 14: 1W/5L
2026-08-21,29.56,-1.21,день 15: 2W/5L (Баккерс/Грэй умерли от размазывания очков ATL+IND; Нельсон-Одода подтвердила micro-blowout)
